CODIGO;CODBARRA1;CODBARRA2;CODBARRA3;CODAUXILI1;CODAUXILI2;DESCRICAO;DESCREDUZI;DESCDETA1;DESCDETA2;DESCDETA3;DESCDETA4;LOCALIZA;SUBGRUPO;GRUPO;DEPARTAMEN;MARCA;PRECOVENDA;MARGEM;ESTOQUE;ESTOQUEMIN;ESTOQUEIDE;ESTOQUEPEN;UNIDADE;PESO;SITUACAO;TIPO;DATAALT;AGRUPAMENT;FRACIONADO;CUSTOMEDIO;PERCOMIS;NAOCOMIS;FATORCONV;CST;ORIGEM;NCM;ICMSIN;ICMSINREV;ICMSININD;ICMSINPER1;ICMSINPER2;ICMS;ICMSCN;ICMSCR;ICMSINDU;ICMSPER1;ICMSPER2;PISCOF;ALIPI;CREDICMS;PPB;FABPROPRI;RECSTANT;GRADEPRINC;GRADE1;GRADE2
4236;42369;;;;;CONECTOR RJ45 SOHO PLUS FURUKAWA;CONECTOR RJ 45 SOHO PLUS;;;;;;23;1;1;0;1,5;200;0;200;0;200;;0;A;N;20130919;0;;0,616;0;;;;2;85369090;2;2;2;0;0;6;6;6;6;0;0;1;0;0,008;0;;;0;0;0
4237;42376;;;;;CABO PATCH CORD 1,5M FURUKAWA AMARELO;CABO PATCH CORD REDE 1,5M;;;;;;7;1;1;0;15;100;0;0;0;0;;0;A;N;20120730;0;;8,95;0;;;;2;85444200;1;1;1;0;0;1;1;1;1;0;0;1;0;1,075;0;;;0;0;0
4238;42383;;;;;PATCH PANEL 24P RJ45 CAT5 SOHO PLUS FURUKAWA;PATCH PANEL 24P RJ45 CAT5;;;;;;23;1;1;0;135;40;0;0;0;0;UN;0;A;N;20150714;0;;81,23;0;;;;0;85177099;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
4239;42390;;;;;COMP. PC PADRAO A ESSEN VIAC3 1GB 320GB SEM DVD;COMP. PC PADRAO A ESSEN V;;;;;;92;1;1;0;469;50;0;0;0;0;;0;A;N;20120109;0;;319,9;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;57,153;471;;;0;0;0
4240;42406;;;;;"MONITOR LED 20"" SAMSUNG BX2031N";"MONITOR LED 20"" SAMSUNG B";;;;;;28;1;1;0;449;40;0;0;0;0;;0;A;N;20120109;0;;231,9;0;;;;4;85285120;2;2;2;0;0;9;9;9;9;0;0;1;0;19,03;484;;;0;0;0
4241;42413;;;;;COMP. PC PADRAO A ESSEN D430 1GB 320GB INTEL AUTOM;COMP. PC PADRAO A ESSEN D;;;;;;92;1;1;0;600;50;0;0;0;0;;0;A;N;20120109;0;;583;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;72,536;471;;;0;0;0
4242;42420;;;;;ROTEADOR WIR INTELBRAS WRG140E 54MBPS;ROTEADOR WIR INTELBRAS WR;;;;;;23;1;1;0;99;40;0;0;0;0;;0;A;N;20120222;0;;55,011;0;;;;2;85176241;2;2;2;0;0;6;6;6;6;0;0;2;0;6,6;0;;;0;0;0
4243;42437;;;;;MEMORIA NOT DDR2 2GB 667 CORSAIR VS2GSDS6672D2;MEMORIA NOT 2GB 667 CORSA;;;;;;4;1;1;0;110;40;0;0;0;0;;0;A;N;20130622;0;;72,023;0;;;;2;84733042;2;2;2;0;0;6;6;6;6;0;0;1;0;7,55;0;;;0;0;0
4244;42444;;;;;SERVER IBM XLS56BR XEON 3430/2GB/250GB;SERVER IBM XLS56BR XEON 3;;;;;;92;1;1;0;2351,802;40;0;0;0;0;;0;A;N;20120109;0;;1679,859;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;117,59;278;;;0;0;0
4245;42451;;;;;TECLADO IBM PARA SEVIDOR;TECLADO IBM PARA SEVIDOR;;;;;;25;1;1;0;80;50;0;0;0;0;;0;A;N;20120320;0;;61,133;0;;;;0;84716052;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
